win_rate,lose_rate,house_edge_pct,n_rounds,bet_count_corr,bet_count_pval,n_bets,run_id,arch,mode,seed
0.45272978517049894,0.5472702148295011,-6.4973976432068445,116511,0.0007352541443951412,0.7935699359059089,126668,mlp0_group_seed_1,mlp0,group,1
0.4590381454595261,0.540961854540474,-5.164630908125332,116816,0.001256424811619121,0.653763932135755,127449,mlp0_group_seed_4,mlp0,group,4
0.46984786201635803,0.530152137983642,-3.125,117985,0.00026565195250710563,0.9241427210441793,128472,mlp0_group_seed_2,mlp0,group,2
0.4542642162388905,0.5457357837611095,-6.049199800344973,114429,-0.000721246440467739,0.7991105728330604,124512,mlp0_group_seed_0,mlp0,group,0
0.4568713888294458,0.5431286111705542,-5.364034841597925,116825,-0.0013462652525553917,0.6307452353096897,127484,mlp0_group_seed_3,mlp0,group,3
0.3934025452109846,0.6065974547890154,-17.158502658731557,119440,-0.00797166145843463,0.004390266259547259,127697,mlp_history_group_seed_0,mlp_history,group,0
0.4201431802812303,0.5798568197187697,-12.579914481893937,128649,-0.0064455858490529315,0.016774222608539394,137676,mlp_history_group_seed_2,mlp_history,group,2
0.43393142417608427,0.5660685758239158,-9.81779812150755,135208,0.003666343638563922,0.16365171960406524,144336,mlp_history_group_seed_4,mlp_history,group,4
0.427167695076488,0.572832304923512,-11.360297278076914,124464,-0.006145719536391364,0.024555418871374576,133836,mlp_history_group_seed_3,mlp_history,group,3
0.3665294530332102,0.6334705469667898,-20.969635286257517,118307,-8.616081781435644e-05,0.9756169908432538,125840,mlp_history_group_seed_1,mlp_history,group,1
0.4576464557945733,0.5423535442054267,-5.5662952535300585,120958,0.005372829543043901,0.05154367987360245,131309,gru_group_seed_1,gru,group,1
0.4474977468668696,0.5525022531331304,-7.431265038854483,117614,-0.004822372201503457,0.08510278674622039,127484,gru_group_seed_0,gru,group,0
0.4543250132415254,0.5456749867584746,-5.948770265799052,120832,0.0011861579287412412,0.6680962913725895,130664,gru_group_seed_4,gru,group,4
0.4460256599321634,0.5539743400678366,-7.7051362870826,122058,0.009742209991139823,0.00040487044132452607,131800,gru_group_seed_3,gru,group,3
0.45287048315062933,0.5471295168493707,-6.668184974486058,123150,0.0002981063799953112,0.9133342013636844,133289,gru_group_seed_2,gru,group,2
