win_rate,lose_rate,house_edge_pct,n_rounds,bet_count_corr,bet_count_pval,n_bets,run_id,arch,mode,seed
0.4523540875987281,0.5476459124012719,-6.146085552865214,29247,-0.009971541047054482,0.07588526246281034,31690,mlp0_solo_seed_4,mlp0,solo,4
0.46620226135050935,0.5337977386494906,-3.950374412996573,28567,0.0027816619685235686,0.6224766508628093,31330,mlp0_solo_seed_2,mlp0,solo,2
0.45978371626729775,0.5402162837327023,-5.116461264953144,30423,0.0051697816997575054,0.3472956091013264,33052,mlp0_solo_seed_1,mlp0,solo,1
0.4557555693496103,0.5442444306503896,-5.753438957062331,28998,0.002332741748833259,0.6781448959125056,31651,mlp0_solo_seed_3,mlp0,solo,3
0.4573135931782321,0.5426864068217678,-5.650500384911471,29787,-0.00011644622205467446,0.9832898278029594,32354,mlp0_solo_seed_0,mlp0,solo,0
0.4051134203523001,0.5948865796476999,-14.275491001616793,31564,0.026278183996982212,1.4441434647729927e-06,33618,mlp_history_solo_seed_4,mlp_history,solo,4
0.4054168155100185,0.5945831844899815,-14.964035432615583,30793,0.0025272965929600696,0.646599781144067,32914,mlp_history_solo_seed_0,mlp_history,solo,0
0.43073138537229255,0.5692686146277074,-10.21529755318956,33334,0.02633619427233449,6.746097488390121e-07,35582,mlp_history_solo_seed_2,mlp_history,solo,2
0.43271616720748235,0.5672838327925177,-10.972803637270937,31434,-0.020571728575441192,0.0001587242128646954,33705,mlp_history_solo_seed_3,mlp_history,solo,3
0.38272813174946,0.6172718682505399,-17.843482252141982,29632,-0.0033638684388638583,0.549524665880748,31655,mlp_history_solo_seed_1,mlp_history,solo,1
0.45313064320189117,0.5468693567981088,-6.658746944268959,30457,0.023811610187242465,1.527173797303277e-05,32980,gru_solo_seed_2,gru,solo,2
0.45911660312869723,0.5408833968713027,-5.440074784798951,30428,0.006794554578043425,0.2170156294072902,33013,gru_solo_seed_4,gru,solo,4
0.45641146235764435,0.5435885376423556,-5.510149436425766,29767,0.0035429805201457653,0.5240382497980782,32341,gru_solo_seed_0,gru,solo,0
0.45113140676117774,0.5488685932388222,-6.754218184302206,29344,0.04424118137688803,3.072621678821135e-15,31760,gru_solo_seed_1,gru,solo,1
0.45650858362263913,0.5434914163773609,-5.26480084194003,31397,0.014920478785202109,0.006112464283294543,33764,gru_solo_seed_3,gru,solo,3
